GRB	<a href="/archive/grb_table/swgrbtable_help.html#bat_t90">BAT T90 [sec]</a>	<a href="/archive/grb_table/swgrbtable_help.html#redshift">Redshift</a>
230414B	25.98	3.568 (OSIRIS/GTC: absorption)
230328B	19.23	Minimal possible redshift value of z = 0.09
230325A	38.05	1.664 (VLT: emission)
230116D	41.00	3.81 (SAO RAS: absorption)
221226B	3.44	2.694 (VLT: absorption)
221110A	8.98	4.06 (VLT: absorption)
221009A	1068.40	0.151 (VLT: absorption & emission from host)|0.1505 (GTC: absorption)
220611A	57.00	2.3608 (VLT: emission from host)
220521A	13.55	5.6 (NOT: absorption)|5.57 (Gemini-South)
220117A	49.81	4.961 (VLT: absorption)
220107A	n/a	1.246 (BTA: absorption)
220101A	173.36	4.61 (Xinglong: absorption)|4.618 (NOT: absorption)|4.61 (Asiago: absorption)
211207A	3.73	2.272 (VLT: absorption)
211024B	603.5	1.1137 (VLT: emission from host)
211023B	1.30	0.862 (LBT: spectroscopic)
210905A	n/a	6.318 (VLT: absorption)
210822A	180.8	1.736 (NOT: absorption)
210731A	22.51	1.2525 (VLT: absorption)
210722A	50.20	1.145 (GTC: absorption)
210702A	138.2	1.1757 (Swift/UVOT: absorption)|1.160 (VLT: absorption)
210619B	60.90	1.937 (OSIRIS/GTC: absorption)
210610B	69.38	1.13 (NOT: tentative)|1.1345 (GTC)|1.13 (HCT: absorption)
210610A	13.62	3.54 (Xinglong: absorption)|3.5 (HCT: absorption)
210517A	3.06	2.486 (VLT: emission & absorption)
210504A	135.06	2.077 (VLT: absorption)
210420B	158.8	1.400 (GTC: absorption)
210411C	12.80	2.826 (VLT: absorption)
210321A	8.21	1.487 (OSIRIS/GTC)
210222B	12.82	2.198 (FORS2/VLT: absorption)
210210A	6.60	0.715 (OSIRIS/GTC: absorption)
201221D	0.16	1.046 (GTC: emission/absorption)
201221A	44.5	5.70 (VLT)
201216C	48.0	1.10 (VLT: likely redshift)
201104B	8.66	1.954 (VLT: absorption & emission)
201024A	5.00	0.999 (GTC: absorption)
201021C	24.38	1.070 (VLT: absorption)
201020A	14.17	2.903 (GTC: absorption)
201015A	9.78	0.426 (GTC: emission)|0.423 (NOT: absorption & emission)
201014A	36.2	4.56 (GTC)
200829A	13.04	1.25 (UVOT-XRT: photometric)
200522A	0.62	0.4 (SDSS: photometric)
200205B	458.0	1.465 (VLT: absorption and emission)
191221B	48.00	1.19 (UVOT), 1.148 (VLT: absorption)
191019A	64.35	0.248 (NOT: absorption)
191011A	7.37	1.722 (VLT)
191004B	37.7	3.503 (VLT: absorption)
190829A	58.2	0.0785 (GTC: absorption & emission from SDSS J025810.28-085719.2)| 0.078 (Keck I: emission from host)
190719C	185.7	2.469 (VLT: emission, host)
190627A	1.60	1.942 (VLT: absorption)
190324A	28.4	1.1715 (VLT: absorption)
190114C	361.5	0.42 (NOT: absorption)|0.4245 (GTC)|0.4250 (ESO-VLT UT2: absorption & emission)
190114A	66.6	3.3765 (VLT: absorption)
190106A	76.8	1.86 (Xinglong: absorption)| 1.86 (GMG: absorption)|1.859 (VLT: absorption)
181213A	15.31	<2.4 (NOT: inferred)
181110A	138.4	1.505 (VLT: absorption)
181020A	238.0	2.938 (VLT: absorption)
181010A	16.4	1.39 (VLT: absorption & emission)
180728A	8.68	0.117 (VLT: absorption)
180720B	n/a	0.654 (VLT: absorption)
180624A	486.4	2.855 (LBT: absorption)
180620B	198.8	1.1175 (VLT: absorption)
180510B	134.3	1.305 (VLT: absorption)
180404A	35.2	1.000 (VLT: absorption)
180329B	210.0	1.998 (VLT: absorption)
180325A	94.1	2.25 (NOT: absorption)| 2.248 (VLT: absorption)
180314A	51.2	1.445 (VLT: absorption)
180205A	15.5	1.409 (VLT: absorption)
180115A	40.9	2.487 (GTC)
171222A	174.8	2.409 (GTC: absorption)
171205A	189.4	0.0368 (VLT: emission & absorption)
171020A	41.9	1.87 (NOT: absorption)
170903A	29.2	0.886 (GTC: emission from host)
170714A	n/a	0.793 (GTC: emission from host)
170705A	217.3	2.010 (GTC: absorption)
170607A	n/a	0.557 (GTC: emission)
170604A	26.70	1.329 (GTC: absorption)
170531B	164.13	2.366 (GTC: absorption)|Consistent with GTC results (WHT)
170519A	216.4	0.818 (GTC: absorption)
170405A	164.7	3.510 (GTC: absorption)
170202A	46.2	3.645 (GTC: absorption and emission)|3.65 (Xinglong: absorption)|3.645 (VLT: absorption and emission)
170113A	20.66	1.968 (VLT: absorption)
161219B	6.94	0.1475 (VLT: absorption)|0.1475 (GTC: absorption)
161129A	35.53	0.645 (GTC: emission from host))
161117A	125.7	1.549 (VLT: absorption)
161108A	105.1	1.159 (NOT: absorption & emission)
161017A	216.3	2.0127 (GTC: absorption)|2.01 (TNG: absorption)
161014A	18.3	2.823 (GTC: absorption)|2.823 (VLT: absorption)
160804A	144.2	0.736 (VLT: absorption & emission)
160703A	44.4	The detection in all UVOT filters is consistent with a redshift of z < ~1.5
160624A	0.2	0.483 (Gemini-North: emission, possible host)
160425A	304.58	0.555 (VLT: emission)
160410A	8.2	1.717 (VLT: absorption)|1.72 (Keck-I: absorption)
160327A	28	4.99 (GTC: absorption, probably redshift)
160314A	8.73	0.726 (VLT: emission from host)
160227A	316.5	2.38 (NOT: absorption)
160203A	20.2	3.52 (VLT: absorption)
160131A	325	0.97 (TNG: absorption)|0.972 (GTC: absorption)|0.97 (Xinglong: absorption)
160121A	12.0	1.960 (GTC: absorption)
160117B	n/a	0.870 (VLT: absorption)| 0.86 (TNG: absorption and emission)
151215A	17.8	2.59 (NOT: absorption)
151112A	19.32	4.1 (MPG: photometric)
151111A	76.93	3.5 (MPG: photometric)
151031A	5.00	1.167 (VLT: absorption)
151029A	8.95	1.423 (VLT: absorption)
151027B	80.00	4.063 (VLT: absorption)
151027A	129.69	0.38 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption)
151021A	110.2	2.330 (VLT: absorption)
150915A	164.7	1.968 (VLT: absorption)
150910A	112.2	1.359 (Lick: absorption)|1.360 (GTC: absorption)
150821A	172.1	0.755 (VLT: absorption)
150818A	123.3	0.282 (GTC: emission from possible host)
150727A	88	0.313 (VLT: emission)
150424A	91	<3 (GTC)
150423A	0.22	1.394 (VLT: absorption, tentative)
150413A	263.6	3.2 (CAHA: absorption)|3.139 (Asiago: absorption)
150403A	40.90	2.06 (VLT: absorption)
150323A	149.6	0.593 (Keck I: absorption and emission)
150314A	14.79	1.758 (GTC: absorption)
150301B	12.44	1.5169 (VLT: absorption)
150206A	83.2	2.087 (VLT: absorption)
150120A	1.20	0.460 (Gemini-North: emission, possible host)
150101B	0.018	0.093 (GTC: emission from host)
141225A	40.24	0.915 (GTC: absorption)
141221A	36.9	1.452 (Keck II: absorption, tentative)
141220A	7.21	1.3195 (GTC: absorption)
141212A	0.30	0.596 (Gemini-North: emission from likely host)
141121A	549.9	1.47 (Keck I: absorption)
141109A	200	2.993 (VLT: absorption)
141026A	146	3.35 (GTC: absorption, possible redshift)
141004A	3.92	0.57 (NOT: emission)|0.573 (GTC: emission)
140907A	79.2	1.21 (GTC)
140903A	0.30	0.351 (Gemini-North: absorption, tentative host redshift)
